featureName,id,class,county,state,latitude,longitude,elev,map,bgnDate,entryDate
Colvins Store Post Office (historical),169028,Post Office,Greene,Alabama,Unknown,Unknown,,Unknown,,01-FEB-1991
Springfield,132712,Locale,Greene,Alabama,325325N,0875152W,177,Knoxville,,01-DEC-2003
Springfield,157095,Populated Place,Clarke,Alabama,315002N,0874543W,413,Fulton West,,04-SEP-1980
Springfield,137323,Populated Place,Elmore,Alabama,323105N,0862229W,367,Elmore,,01-DEC-2003
Springfield,157097,Populated Place,Lauderdale,Alabama,345317N,0872317W,636,Center Hill,,04-SEP-1980
Springfield,157096,Populated Place,Randolph,Alabama,331243N,0851902W,965,Roanoke East,,04-SEP-1980
Springfield Baptist Church,135820,Church,Randolph,Alabama,331247N,0851901W,955,Roanoke East,,01-DEC-2003
Springfield Branch,127279,Stream,Lauderdale,Alabama,345233N,0872216W,574,Lexington,,04-SEP-1980
Springfield Cemetery,158476,Cemetery,Lamar,Alabama,334552N,0880837W,410,Sulligent SW,,01-DEC-1992
Springfield Cemetery,127280,Cemetery,Pike,Alabama,315231N,0860651W,554,Ansley,,04-SEP-1980
Springfield Cemetery,1805735,Cemetery,Randolph,Alabama,331247N,0851858W,958,Roanoke East,,11-FEB-1999
Springfield Church,153548,Church,Clarke,Alabama,314942N,0874513W,315,Fulton West,,04-SEP-1980
Springfield Church,133556,Church,Dale,Alabama,313238N,0854652W,489,Brundidge SE,,01-DEC-2003
Springfield Church,127284,Church,Greene,Alabama,325327N,0875207W,174,Knoxville,,04-SEP-1980
Springfield Church,127283,Church,Hale,Alabama,324428N,0874147W,243,Melton,,04-SEP-1980
Springfield Church,153547,Church,Houston,Alabama,311318N,0851401W,299,Ashford,,04-SEP-1980
Springfield Church,127285,Church,Jefferson,Alabama,332608N,0865203W,636,Birmingham South,,04-SEP-1980
Springfield Church,127286,Church,Lamar,Alabama,334555N,0880837W,410,Sulligent SW,,04-SEP-1980
Springfield Church,142202,Church,Lauderdale,Alabama,345317N,0872315W,636,Center Hill,,01-DEC-2003
Springfield Church,127281,Church,Pike,Alabama,314022N,0854537W,404,Brundidge,,04-SEP-1980
Springfield Church,127282,Church,Pike,Alabama,315230N,0860658W,587,Youngblood,,04-SEP-1980
Springfield Church (historical),141274,Church,Talladega,Alabama,Unknown,Unknown,,Unknown,,01-DEC-2003
